BehaviorSpace results (NetLogo 5.2.1),,,,,,,,,,,,,,,,,,,,,,,
INDISIM3.nlogo,,,,,,,,,,,,,,,,,,,,,,,
25_simulations,,,,,,,,,,,,,,,,,,,,,,,
08/15/2016 08:44:37:480 -0400,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,
0,30,0,30,,,,,,,,,,,,,,,,,,,,
[run number],inhibitory_k,mass_reproduction,initial_local_nutrient,viability_time,yield,length_time_feed,yield-2,availability_k,uptake_k,Bioreactor,out_reservoir_nutrient,initial_bacteria_2,maintenance_k,in_out_percent,fed_nutrient,initial_bacteria_1,[step],count turtles,count turtles with [color = pink],count turtles with [color = sky],total_biomass,total_nutrient,total_end_product
5,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,5,4,7,6,1,240.5618338,480387.6956,112.3044473
2,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,2,6,4,2,2,99.09785319,480455.5249,44.45462401
4,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,4,5,5,4,1,129.0144938,480427.7226,72.27743926
6,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,1,5,5,1,4,96.81361968,480481.2872,18.71278408
1,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,1,5,2,1,1,44.67983658,480481.7529,18.24707648
7,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,2,5,5,3,2,94.88453901,480461.5895,38.41050472
8,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,3,6,7,5,2,187.6404008,480384.9889,115.0111341
6,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,1,6,5,1,4,99.30714059,480476.241,23.7589662
2,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,2,7,4,2,2,105.3586989,480445.1261,54.83851086
5,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,5,5,8,7,1,256.5200567,480353.7327,146.2672585
4,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,4,6,6,5,1,143.4069808,480407.6539,92.34608357
1,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,1,6,2,1,1,46.10673201,480477.3369,22.6631242
7,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,2,6,5,3,2,104.2125996,480450.1652,49.83479313
6,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,1,7,5,1,4,98.9766109,480472.262,27.73800139
2,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,2,8,4,2,2,106.9880269,480436.3441,63.61626159
8,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,3,7,7,5,2,200.4757055,480359.4613,140.5386876
4,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,4,7,6,5,1,159.1315617,480385.3507,114.6493387
5,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,5,6,8,7,1,266.8512661,480318.9904,181.0089093
7,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,2,7,5,3,2,113.4759126,480437.4653,62.53466171
2,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,2,9,5,3,2,110.4244163,480425.7212,74.21769813
6,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,1,8,5,1,4,98.64938651,480468.2358,31.76421726
1,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,1,7,2,1,1,48.74556944,480472.3486,27.65140802
8,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,3,8,7,5,2,208.3758525,480335.0706,164.9294265
7,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,2,8,5,3,2,120.3019087,480424.2312,75.76884322
5,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,5,7,9,8,1,277.0575541,480284.4706,215.5285564
4,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,4,8,6,5,1,168.7586414,480362.9238,137.076218
1,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,1,8,3,2,1,55.54652748,480465.7092,34.29080217
8,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,3,9,7,5,2,222.3228258,480306.32,193.6800114
6,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,1,9,5,1,4,98.64938651,480464.723,35.27696707
7,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,2,9,5,3,2,126.6745194,480410.1201,89.8799152
4,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,4,9,6,5,1,188.8440555,480335.578,164.4219489
2,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,2,10,5,3,2,113.9548175,480415.217,84.66652006
